itemname,key,delay,value_type,description,application,discovery_rule,template,units
gc PS MarkSweep accumulated time spent in collection,"jmx[""java.lang:type=GarbageCollector,name=PS MarkSweep"",CollectionTime]",1m,0,,Garbage collector,,Template App Generic Java JMX,s
gc PS Scavenge number of collections per second,"jmx[""java.lang:type=GarbageCollector,name=PS Scavenge"",CollectionCount]",1m,0,,Garbage collector,,Template App Generic Java JMX,
gc PS Scavenge accumulated time spent in collection,"jmx[""java.lang:type=GarbageCollector,name=PS Scavenge"",CollectionTime]",1m,0,,Garbage collector,,Template App Generic Java JMX,s
mem Heap Memory committed,"jmx[""java.lang:type=Memory"",HeapMemoryUsage.committed]",1m,3,,Memory,,Template App Generic Java JMX,B
mem Heap Memory max,"jmx[""java.lang:type=Memory"",HeapMemoryUsage.max]",1h,3,,Memory,,Template App Generic Java JMX,B
mem Heap Memory used,"jmx[""java.lang:type=Memory"",HeapMemoryUsage.used]",1m,3,,Memory,,Template App Generic Java JMX,B
mem Non-Heap Memory committed,"jmx[""java.lang:type=Memory"",NonHeapMemoryUsage.committed]",1m,3,,Memory,,Template App Generic Java JMX,B
mem Non-Heap Memory max,"jmx[""java.lang:type=Memory"",NonHeapMemoryUsage.max]",1h,3,,Memory,,Template App Generic Java JMX,B
mem Non-Heap Memory used,"jmx[""java.lang:type=Memory"",NonHeapMemoryUsage.used]",1m,3,,Memory,,Template App Generic Java JMX,B
mem Object Pending Finalization Count,"jmx[""java.lang:type=Memory"",ObjectPendingFinalizationCount]",1m,3,,Memory,,Template App Generic Java JMX,
mp CMS Old Gen committed,"jmx[""java.lang:type=MemoryPool,name=CMS Old Gen"",Usage.committed]",1m,3,,Memory pool,,Template App Generic Java JMX,B
mp CMS Old Gen max,"jmx[""java.lang:type=MemoryPool,name=CMS Old Gen"",Usage.max]",1h,3,,Memory pool,,Template App Generic Java JMX,B
mp CMS Old Gen used,"jmx[""java.lang:type=MemoryPool,name=CMS Old Gen"",Usage.used]",1m,3,,Memory pool,,Template App Generic Java JMX,B
mp CMS Perm Gen committed,"jmx[""java.lang:type=MemoryPool,name=CMS Perm Gen"",Usage.committed]",1m,3,,Memory pool,,Template App Generic Java JMX,B
mp CMS Perm Gen max,"jmx[""java.lang:type=MemoryPool,name=CMS Perm Gen"",Usage.max]",1h,3,,Memory pool,,Template App Generic Java JMX,B
mp CMS Perm Gen used,"jmx[""java.lang:type=MemoryPool,name=CMS Perm Gen"",Usage.used]",1m,3,,Memory pool,,Template App Generic Java JMX,B
mp Code Cache committed,"jmx[""java.lang:type=MemoryPool,name=Code Cache"",Usage.committed]",1m,3,,Memory pool,,Template App Generic Java JMX,B
mp Code Cache max,"jmx[""java.lang:type=MemoryPool,name=Code Cache"",Usage.max]",1h,3,,Memory pool,,Template App Generic Java JMX,B
mp Code Cache used,"jmx[""java.lang:type=MemoryPool,name=Code Cache"",Usage.used]",1m,3,,Memory pool,,Template App Generic Java JMX,B
mp Perm Gen committed,"jmx[""java.lang:type=MemoryPool,name=Perm Gen"",Usage.committed]",1m,3,,Memory pool,,Template App Generic Java JMX,B
mp Perm Gen max,"jmx[""java.lang:type=MemoryPool,name=Perm Gen"",Usage.max]",1h,3,,Memory pool,,Template App Generic Java JMX,B
mp Perm Gen used,"jmx[""java.lang:type=MemoryPool,name=Perm Gen"",Usage.used]",1m,3,,Memory pool,,Template App Generic Java JMX,B
mp PS Old Gen committed,"jmx[""java.lang:type=MemoryPool,name=PS Old Gen"",Usage.committed]",1m,3,,Memory pool,,Template App Generic Java JMX,B
mp PS Old Gen max,"jmx[""java.lang:type=MemoryPool,name=PS Old Gen"",Usage.max]",1h,3,,Memory pool,,Template App Generic Java JMX,B
mp PS Old Gen used,"jmx[""java.lang:type=MemoryPool,name=PS Old Gen"",Usage.used]",1m,3,,Memory pool,,Template App Generic Java JMX,B
mp PS Perm Gen committed,"jmx[""java.lang:type=MemoryPool,name=PS Perm Gen"",Usage.committed]",1m,3,,Memory pool,,Template App Generic Java JMX,B
mp PS Perm Gen max,"jmx[""java.lang:type=MemoryPool,name=PS Perm Gen"",Usage.max]",1h,3,,Memory pool,,Template App Generic Java JMX,B
mp PS Perm Gen used,"jmx[""java.lang:type=MemoryPool,name=PS Perm Gen"",Usage.used]",1m,3,,Memory pool,,Template App Generic Java JMX,B
mp Tenured Gen committed,"jmx[""java.lang:type=MemoryPool,name=Tenured Gen"",Usage.committed]",1m,3,,Memory pool,,Template App Generic Java JMX,B
mp Tenured Gen max,"jmx[""java.lang:type=MemoryPool,name=Tenured Gen"",Usage.max]",1h,3,,Memory pool,,Template App Generic Java JMX,B
mp Tenured Gen used,"jmx[""java.lang:type=MemoryPool,name=Tenured Gen"",Usage.used]",1m,3,,Memory pool,,Template App Generic Java JMX,B
os Max File Descriptor Count,"jmx[""java.lang:type=OperatingSystem"",MaxFileDescriptorCount]",1h,3,,Operating system,,Template App Generic Java JMX,
os Open File Descriptor Count,"jmx[""java.lang:type=OperatingSystem"",OpenFileDescriptorCount]",1m,3,,Operating system,,Template App Generic Java JMX,
os Process CPU Load,"jmx[""java.lang:type=OperatingSystem"",ProcessCpuLoad]",1m,0,,Operating system,,Template App Generic Java JMX,%
jvm Uptime,"jmx[""java.lang:type=Runtime"",Uptime]",1m,3,,Runtime,,Template App Generic Java JMX,uptime
jvm Name,"jmx[""java.lang:type=Runtime"",VmName]",1h,1,,Runtime,,Template App Generic Java JMX,
jvm Version,"jmx[""java.lang:type=Runtime"",VmVersion]",1h,1,,Runtime,,Template App Generic Java JMX,
th Daemon Thread Count,"jmx[""java.lang:type=Threading"",DaemonThreadCount]",1m,3,,Threads,,Template App Generic Java JMX,
th Peak Thread Count,"jmx[""java.lang:type=Threading"",PeakThreadCount]",1m,3,,Threads,,Template App Generic Java JMX,
th Thread Count,"jmx[""java.lang:type=Threading"",ThreadCount]",1m,3,,Threads,,Template App Generic Java JMX,
th Total Started Thread Count,"jmx[""java.lang:type=Threading"",TotalStartedThreadCount]",1m,3,,Threads,,Template App Generic Java JMX,
HTTP service is running,net.tcp.service[http],1m,3,,HTTP service,,Template App HTTP Service,
HTTPS service is running,net.tcp.service[https],1m,3,,HTTPS service,,Template App HTTPS Service,
IMAP service is running,net.tcp.service[imap],1m,3,,IMAP service,,Template App IMAP Service,
LDAP service is running,net.tcp.service[ldap],1m,3,,LDAP service,,Template App LDAP Service,
NNTP service is running,net.tcp.service[nntp],1m,3,,NNTP service,,Template App NNTP Service,
NTP service is running,net.udp.service[ntp],1m,3,,NTP service,,Template App NTP Service,
Ceilometer Agent Central should run on this node,crm.node.check[p_openstack-ceilometer-agent-central],30,3,,Ceilometer,,Template App OpenStack Ceilometer,
Ceilometer Alarm Evaluator should run on this node,crm.node.check[p_openstack-ceilometer-alarm-evaluator],30,3,,Ceilometer,,Template App OpenStack Ceilometer,
Ceilometer API Server is listening on port,"net.tcp.service[http,{$IP_MANAGEMENT},8777]",30,3,,Ceilometer,,Template App OpenStack Ceilometer,
Ceilometer Agent Central process is running,"proc.num[,ceilometer,,bin/python.*bin/ceilometer-agent-central]",30,3,,Ceilometer,,Template App OpenStack Ceilometer,
Ceilometer Alarm Evaluator process is running,"proc.num[,ceilometer,,bin/python.*bin/ceilometer-alarm-evaluator]",30,3,,Ceilometer,,Template App OpenStack Ceilometer,
Ceilometer Alarm Notifier process is running,"proc.num[,ceilometer,,bin/python.*bin/ceilometer-alarm-notifier]",30,3,,Ceilometer,,Template App OpenStack Ceilometer,
Ceilometer API process is running,"proc.num[,ceilometer,,bin/python.*bin/ceilometer-api]",30,3,,Ceilometer,,Template App OpenStack Ceilometer,
Ceilometer Collector process is running,"proc.num[,ceilometer,,bin/python.*bin/ceilometer-collector]",30,3,,Ceilometer,,Template App OpenStack Ceilometer,
Ceilometer Agent Compute process is running,"proc.num[,ceilometer,,bin/python.*bin/ceilometer-agent-compute]",30,3,,Ceilometer,,Template App OpenStack Ceilometer Compute,
Ceph health is OK,ceph.health,30,3,,Ceph,,Template App OpenStack Ceph,
Ceph monitor_count,monitor_count,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph objects_count,objects_count,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph osd_count_down,osd_count_down,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph osd_count_in,osd_count_in,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph osd_count_out,osd_count_out,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph osd_count_up,osd_count_up,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph pg_bytes_free,pg_bytes_free,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph pg_bytes_total,pg_bytes_total,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph pg_bytes_used,pg_bytes_used,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph pg_count,pg_count,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph pg_data_bytes,pg_data_bytes,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph pg_state_count_active,pg_state_count_active,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph pg_state_count_backfill,pg_state_count_backfill,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph pg_state_count_backfilltoofull,pg_state_count_backfilltoofull,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph pg_state_count_clean,pg_state_count_clean,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph pg_state_count_creating,pg_state_count_creating,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph pg_state_count_degraded,pg_state_count_degraded,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph pg_state_count_down,pg_state_count_down,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph pg_state_count_incomplete,pg_state_count_incomplete,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph pg_state_count_inconsistent,pg_state_count_inconsistent,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph pg_state_count_peered,pg_state_count_peered,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph pg_state_count_peering,pg_state_count_peering,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph pg_state_count_recovering,pg_state_count_recovering,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph pg_state_count_remapped,pg_state_count_remapped,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph pg_state_count_repair,pg_state_count_repair,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph pg_state_count_replay,pg_state_count_replay,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph pg_state_count_scrubbing,pg_state_count_scrubbing,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph pg_state_count_splitting,pg_state_count_splitting,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph pg_state_count_stale,pg_state_count_stale,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph pg_state_count_undersized,pg_state_count_undersized,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph pg_state_count_waitbackfill,pg_state_count_waitbackfill,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph pool_count,pool_count,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph pool_total_bytes_free,pool_total_bytes_free,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph pool_total_bytes_total,pool_total_bytes_total,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph pool_total_bytes_used,pool_total_bytes_used,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph pool_total_percent_free,pool_total_percent_free,0,0,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph pool_total_percent_used,pool_total_percent_used,0,0,,Ceph,,Template App OpenStack Ceph Cluster,
Probe ceph metrics,probe.ceph,30,3,,Ceph,,Template App OpenStack Ceph Cluster,
Ceph quorum_count,quorum_count,0,3,,Ceph,,Template App OpenStack Ceph Cluster,
Number of ceph-mds processes,"proc.num[,,,/usr/bin/ceph-mds]",60,3,,Ceph MDS,,Template App OpenStack Ceph MDS,
Number of ceph-gr processes,"proc.num[,,,/usr/bin/ceph-mgr]",60,3,,Ceph MGR,,Template App OpenStack Ceph MGR,
Number of ceph-mon processes,"proc.num[,,,/usr/bin/ceph-mon]",60,3,,Ceph MON,,Template App OpenStack Ceph MON,
Number of running Ceph OSD processes,"proc.num[,,,/usr/bin/ceph-osd]",30,3,,Ceph OSD,,Template App OpenStack Ceph OSD,
Number of ceph-rgw processes,"proc.num[,,,/usr/bin/radosgw]",60,3,,RGW,,Template App OpenStack Ceph RGW,
Cinder API Server is listening on port,"net.tcp.service[http,{$IP_MANAGEMENT},8776]",60,3,,Cinder API,,Template App OpenStack Cinder API,
Cinder API server process is running,"proc.num[,cinder,,bin/python.*bin/cinder-api]",60,3,,Cinder API,,Template App OpenStack Cinder API,
Cinder API test succeeded,cinder.api.status,60,3,,Cinder API check,,Template App OpenStack Cinder API check,
Cinder Scheduler Server process is running,"proc.num[,cinder,,bin/python.*bin/cinder-scheduler]",60,3,,Cinder Scheduler,,Template App OpenStack Cinder Scheduler,
Cinder Volume process is running,"proc.num[,cinder,,bin/python.*bin/cinder-volume]",60,3,,Cinder Volume,,Template App OpenStack Cinder Volume,
Glance API Server is listening on port,"net.tcp.service[http,{$IP_MANAGEMENT},9292]",60,3,,Glance API,,Template App OpenStack Glance API,
Glance API Server process is running,"proc.num[,glance,,bin/python.*bin/glance-api]",60,3,,Glance API,,Template App OpenStack Glance API,
Glance API test succeeded,glance.api.status,60,3,,Glance API check,,Template App OpenStack Glance API check,
Glance Registry Server is listening on port,"net.tcp.service[http,{$IP_MANAGEMENT},9090]",60,3,,Glance Registry,,Template App OpenStack Glance Registry,
Glance Registry Server process is running,"proc.num[,glance,,bin/python.*bin/glance-registry]",60,3,,Glance Registry,,Template App OpenStack Glance Registry,
RabbitMQ EPMD is listening on port,"net.tcp.port[,4369]",60,3,,RabbitMQ,,Template App OpenStack HA RabbitMQ,
RabbitMQ Server is listening on port,"net.tcp.port[,41055]",60,3,,RabbitMQ,,Template App OpenStack HA RabbitMQ,
RabbitMQ AMQP is listening on port,"net.tcp.port[{$IP_MANAGEMENT},5672]",60,3,,RabbitMQ,,Template App OpenStack HA RabbitMQ,
RabbitMQ EPMD process is running,"proc.num[,,,epmd -(daemon|systemd)]",60,3,,RabbitMQ,,Template App OpenStack HA RabbitMQ,
RabbitMQ BEAM process is running,"proc.num[,rabbitmq,,bin/beam]",60,3,,RabbitMQ,,Template App OpenStack HA RabbitMQ,
RabbitMQ missing nodes,rabbitmq.missing.nodes,60,3,,RabbitMQ,,Template App OpenStack HA RabbitMQ,
RabbitMQ missing queues,rabbitmq.missing.queues,60,3,,RabbitMQ,,Template App OpenStack HA RabbitMQ,
RabbitMQ queue items,rabbitmq.queue.items,60,3,,RabbitMQ,,Template App OpenStack HA RabbitMQ,
RabbitMQ queues without consumers,rabbitmq.queues.without.consumers,60,3,,RabbitMQ,,Template App OpenStack HA RabbitMQ,
RabbitMQ unmirrored queues,rabbitmq.unmirror.queues,60,3,,RabbitMQ,,Template App OpenStack HA RabbitMQ,
Horizon HTTP Server is listening on port,"net.tcp.service[http,{$IP_MANAGEMENT},8080]",60,3,,Horizon,,Template App OpenStack Horizon,
Horizon HTTPS Server is listening on port,"net.tcp.service[https,{$IP_MANAGEMENT},443]",60,3,,Horizon,,Template App OpenStack Horizon,
Horizon HTTP Server process is running,"proc.num[,{$APACHE_USER},,/usr/sbin/{$APACHE_NAME}]",60,3,,Horizon,,Template App OpenStack Horizon,
total icmp,iptstate.icmp,60,3,,Iptables Stats,,Template App OpenStack Iptables Stats,Packets
total other,iptstate.other,60,3,,Iptables Stats,,Template App OpenStack Iptables Stats,Packets
total tcp,iptstate.tcp,60,3,,Iptables Stats,,Template App OpenStack Iptables Stats,Packets
tcp close,iptstate.tcp.close,60,3,,Iptables Stats,,Template App OpenStack Iptables Stats,Packets
tcp established,iptstate.tcp.established,60,3,,Iptables Stats,,Template App OpenStack Iptables Stats,Packets
tcp syn,iptstate.tcp.syn,60,3,,Iptables Stats,,Template App OpenStack Iptables Stats,Packets
tcp timewait,iptstate.tcp.timewait,60,3,,Iptables Stats,,Template App OpenStack Iptables Stats,Packets
total udp,iptstate.udp,60,3,,Iptables Stats,,Template App OpenStack Iptables Stats,Packets
Keystone API Server is listening on port,"net.tcp.service[http,{$IP_MANAGEMENT},5000]",60,3,,Keystone,,Template App OpenStack Keystone,
Keystone Admin API Server is listening on port,"net.tcp.service[http,{$IP_MANAGEMENT},35357]",60,3,,Keystone,,Template App OpenStack Keystone,
Keystone Admin Server process is running,"proc.num[,keystone,,keystone]",60,3,,Keystone,,Template App OpenStack Keystone,
Keystone API test succeeded,keystone.api.status,60,3,,Keystone API check,,Template App OpenStack Keystone API check,
Keystone Service API test succeeded,keystone.service.api.status,60,3,,Keystone API check,,Template App OpenStack Keystone API check,
Libvirtd process is running,"proc.num[libvirtd,root,,]",60,3,,Libvirt,,Template App OpenStack Libvirt,
Current number of bytes used to store items,"memcache[{$IP_MANAGEMENT},bytes]",60,3,,Memcache,,Template App OpenStack Memcache,B
Bytes read by this server per second,"memcache[{$IP_MANAGEMENT},bytes_read]",60,3,,Memcache,,Template App OpenStack Memcache,B
Bytes sent by this server per second,"memcache[{$IP_MANAGEMENT},bytes_written]",60,3,,Memcache,,Template App OpenStack Memcache,B
Number of retrieval requests per second,"memcache[{$IP_MANAGEMENT},cmd_get]",60,3,,Memcache,,Template App OpenStack Memcache,
Number of storage requests per second,"memcache[{$IP_MANAGEMENT},cmd_set]",60,3,,Memcache,,Template App OpenStack Memcache,
Total number of retrieval and storage requests per second,"memcache[{$IP_MANAGEMENT},cmd_total]",60,3,,Memcache,,Template App OpenStack Memcache,
Number of connection structures allocated by the server,"memcache[{$IP_MANAGEMENT},connection_structures]",60,3,,Memcache,,Template App OpenStack Memcache,
Number of open connections,"memcache[{$IP_MANAGEMENT},curr_connections]",60,3,,Memcache,,Template App OpenStack Memcache,
Current number of items stored,"memcache[{$IP_MANAGEMENT},curr_items]",60,3,,Memcache,,Template App OpenStack Memcache,
Items removed to free memory per second,"memcache[{$IP_MANAGEMENT},evictions]",60,3,,Memcache,,Template App OpenStack Memcache,
Keys requested and found present per second,"memcache[{$IP_MANAGEMENT},get_hits]",60,3,,Memcache,,Template App OpenStack Memcache,
Items requested and not found per second,"memcache[{$IP_MANAGEMENT},get_misses]",60,3,,Memcache,,Template App OpenStack Memcache,
Bytes this server is allowed to use for storage,"memcache[{$IP_MANAGEMENT},limit_maxbytes]",3600,3,,Memcache,,Template App OpenStack Memcache,B
Process id of this server process,"memcache[{$IP_MANAGEMENT},pid]",3600,3,,Memcache,,Template App OpenStack Memcache,
System time for this process,"memcache[{$IP_MANAGEMENT},rusage_system]",60,0,,Memcache,,Template App OpenStack Memcache,
User time for this process,"memcache[{$IP_MANAGEMENT},rusage_user]",60,0,,Memcache,,Template App OpenStack Memcache,
Number of worker threads requested,"memcache[{$IP_MANAGEMENT},threads]",60,3,,Memcache,,Template App OpenStack Memcache,
